RR.ms,1,2,3,QT
560,274.112,275.804,274.958,274.958
560,274.112,274.112,272.984,273.736
580,263.959,260.575,263.113,262.549
570,NA,,,#DIV/0!
570,265.651,265.651,268.19,266.4973333
520,295.262,291.878,294.416,293.852
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
620,NA,,,#DIV/0!
630,261.421,261.421,259.729,260.857
700,NA,,,#DIV/0!
830,NA,,,#DIV/0!
910,270.728,272.984,272.984,272.232
NA,,,,#DIV/0!
880,275.804,271.574,274.958,274.112
940,287.648,285.11,290.186,287.648
890,NA,,,#DIV/0!
920,282.008,286.52,280.88,283.136
1280,285.392,287.648,285.392,286.144
NA,,,,#DIV/0!
NA,,,,#DIV/0!
2090,NA,,,#DIV/0!
NA,,,,#DIV/0!
1820,263.959,266.497,264.805,265.087
1540,NA,,,#DIV/0!
2110,NA,,,#DIV/0!
1960,276.368,272.984,272.984,274.112
2400,NA,,,#DIV/0!
2090,NA,,,#DIV/0!
2370,271.856,266.215,270.728,269.5996667
2290,286.52,283.136,288.776,286.144
2800,270.728,279.752,267.343,272.6076667
2470,280.88,276.368,276.368,277.872
2930,276.368,276.368,276.368,276.368
3150,291.032,294.416,291.032,292.16
2710,280.88,280.88,280.88,280.88
3300,NA,,,#DIV/0!
2620,289.904,284.264,284.264,286.144
2910,282.008,282.008,286.52,283.512
3590,NA,,,#DIV/0!
2680,287.648,289.904,288.776,288.776
2980,278.624,277.496,275.24,277.12
3100,291.032,289.34,284.264,288.212
2730,286.52,284.264,283.136,284.64
2950,284.264,285.956,285.956,285.392
2930,293.288,295.544,295.544,294.792
2900,297.8,296.108,292.724,295.544
3170,286.802,287.648,288.494,287.648
3050,NA,,,#DIV/0!
3260,289.34,289.34,291.032,289.904
3160,NA,,,#DIV/0!
2880,300.056,301.184,302.312,301.184
3020,303.44,302.312,302.312,302.688
3220,274.112,275.24,278.624,275.992
3060,NA,,,#DIV/0!
3390,NA,,,#DIV/0!
2600,295.544,295.544,296.672,295.92
3130,283.136,285.392,284.264,284.264
3320,284.264,285.392,286.52,285.392
3490,304.569,299.492,303.723,302.5946667
3150,321.489,321.489,320.361,321.113
3390,270.728,272.984,272.984,272.232
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
NA,,,,#DIV/0!
660,NA,,,#DIV/0!
620,NA,,,#DIV/0!
580,NA,,,#DIV/0!
570,311.337,313.029,318.105,314.157
570,295.544,295.544,305.697,298.9283333
570,NA,,,#DIV/0!
550,270.728,271.856,271.856,271.48
550,303.44,306.825,306.825,305.6966667
550,285.392,285.392,288.776,286.52
550,NA,,,#DIV/0!
NA,,,,#DIV/0!
550,296.108,298.646,298.646,297.8
560,297.8,296.672,298.928,297.8
NA,,,,#DIV/0!
NA,,,,#DIV/0!
550,289.904,292.16,286.52,289.528
NA,,,,#DIV/0!
580,NA,,,#DIV/0!
540,239.143,236.887,238.015,238.015
NA,,,,#DIV/0!
500,338.409,335.025,336.717,336.717
630,NA,,,#DIV/0!
NA,,,,#DIV/0!
580,296.108,296.108,295.262,295.826
580,320.643,322.335,319.797,320.925
560,NA,,,#DIV/0!
NA,,,,#DIV/0!
590,NA,,,#DIV/0!
NA,,,,#DIV/0!
450,NA,,,#DIV/0!
NA,,,,#DIV/0!
630,NA,,,#DIV/0!
560,NA,,,#DIV/0!
NA,,,,#DIV/0!
550,NA,,,#DIV/0!
540,NA,,,#DIV/0!
540,NA,,,#DIV/0!
530,NA,,,#DIV/0!
NA,,,,#DIV/0!
530,NA,,,#DIV/0!
530,NA,,,#DIV/0!
NA,,,,#DIV/0!
560,297.8,307.953,301.184,302.3123333
490,285.956,284.264,280.88,283.7
520,275.24,278.624,276.368,276.744
520,285.392,287.648,287.648,286.896
520,296.672,291.032,294.416,294.04
530,299.492,296.108,298.646,298.082
520,NA,,,#DIV/0!
520,NA,,,#DIV/0!
NA,,,,#DIV/0!
520,NA,,,#DIV/0!
520,NA,,,#DIV/0!
