Date,Individual,Episode,Type,Act.Time,Behaviour,Status,RR.ms,HR,Time,Dur,1,2,3,QT
20220420,Hazy,978,Target pole dives,40185.87,NA,NA,620,97,0,125.07,274.557,277.946,279.076,277.193
20220420,Hazy,978,Target pole dives,40186.5,NA,NA,630,95,0.63,125.07,280.206,279.076,282.466,280.5826667
20220420,Hazy,978,Target pole dives,40187.14,NA,NA,640,94,1.27,125.07,268.908,267.778,265.518,267.4013333
20220420,Hazy,978,Target pole dives,40187.78,NA,NA,640,94,1.91,125.07,277.946,273.709,277.099,276.2513333
20220420,Hazy,978,Target pole dives,40188.42,NA,NA,640,94,2.55,125.07,281.336,283.878,282.183,282.4656667
20220420,Hazy,978,Target pole dives,40189.07,NA,NA,650,92,3.2,125.07,278.794,286.42,278.794,281.336
20220420,Hazy,978,Target pole dives,40189.71,NA,NA,640,94,3.84,125.07,282.183,288.115,283.031,284.443
20220420,Hazy,978,Target pole dives,40190.34,NA,NA,630,95,4.47,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40190.96,NA,NA,620,97,5.09,125.07,279.076,279.076,277.946,278.6993333
20220420,Hazy,978,Target pole dives,40191.57,NA,NA,610,98,5.7,125.07,241.791,244.051,240.661,242.1676667
20220420,Hazy,978,Target pole dives,40191.75,breath,POINT,NA,NA,5.7,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40192.2,NA,NA,630,95,6.33,125.07,260.999,264.388,260.151,261.846
20220420,Hazy,978,Target pole dives,40192.82,NA,NA,620,97,6.95,125.07,271.167,270.037,270.037,270.4136667
20220420,Hazy,978,Target pole dives,40193.45,NA,NA,630,95,7.58,125.07,267.778,267.778,267.778,267.778
20220420,Hazy,978,Target pole dives,40194.1,NA,NA,650,92,8.23,125.07,263.541,266.083,265.236,264.9533333
20220420,Hazy,978,Target pole dives,40194.76,NA,NA,660,91,8.89,125.07,286.42,292.352,290.657,289.8096667
20220420,Hazy,978,Target pole dives,40195.41,NA,NA,650,92,9.54,125.07,283.878,281.336,282.183,282.4656667
20220420,Hazy,978,Target pole dives,40196.05,NA,NA,640,94,10.18,125.07,314.102,314.102,315.232,314.4786667
20220420,Hazy,978,Target pole dives,40196.7,NA,NA,650,92,10.83,125.07,266.083,262.693,265.236,264.6706667
20220420,Hazy,978,Target pole dives,40197.18,eats fish,POINT,NA,NA,10.83,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40197.38,NA,NA,680,88,11.51,125.07,269.472,270.32,270.32,270.0373333
20220420,Hazy,978,Target pole dives,40198.05,NA,NA,670,90,12.18,125.07,271.167,275.687,274.557,273.8036667
20220420,Hazy,978,Target pole dives,40198.71,NA,NA,660,91,12.84,125.07,288.115,288.115,288.963,288.3976667
20220420,Hazy,978,Target pole dives,40198.97,breath,POINT,NA,NA,12.84,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40199.38,NA,NA,670,90,13.51,125.07,264.388,267.778,266.648,266.2713333
20220420,Hazy,978,Target pole dives,40199.94,haulout,STOP,NA,NA,13.51,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40199.94,underwater,START,NA,NA,13.51,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40200.15,NA,NA,770,78,14.28,125.07,289.245,288.115,285.856,287.7386667
20220420,Hazy,978,Target pole dives,40201.42,stationary underwater,START,NA,NA,14.28,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40201.54,NA,NA,695,86.33093525,14.975,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40201.54,NA,NA,695,86.33093525,15.67,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40202.51,NA,NA,970,62,16.64,125.07,275.687,272.297,273.427,273.8036667
20220420,Hazy,978,Target pole dives,40203.6,NA,NA,1090,55,17.73,125.07,267.778,269.472,269.472,268.9073333
20220420,Hazy,978,Target pole dives,40204.72,NA,NA,1120,54,18.85,125.07,266.648,264.388,264.388,265.1413333
20220420,Hazy,978,Target pole dives,40205.9,NA,NA,1180,51,20.03,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40207.11,NA,NA,1210,50,21.24,125.07,265.518,263.258,263.258,264.0113333
20220420,Hazy,978,Target pole dives,40209.03,bubbles,POINT,NA,NA,21.24,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40209.93,NA,NA,1410,42.55319149,22.65,125.07,271.167,272.297,271.167,271.5436667
20220420,Hazy,978,Target pole dives,40209.93,NA,NA,1410,42.55319149,24.06,125.07,281.336,282.466,280.489,281.4303333
20220420,Hazy,978,Target pole dives,40211.43,NA,NA,1500,40,25.56,125.07,NA,NA,NA,NA
20220420,Hazy,978,Target pole dives,40212.93,NA,NA,1500,40,27.06,125.07,270.037,272.297,273.427,271.9203333
20220420,Hazy,978,Target pole dives,40214.74,NA,NA,1810,33,28.87,125.07,258.739,262.128,262.128,260.9983333
20220420,Hazy,978,Target pole dives,40216.26,NA,NA,1520,39,30.39,125.07,262.128,260.999,260.999,261.3753333
20220420,Hazy,978,Target pole dives,40217.74,NA,NA,1480,41,31.87,125.07,271.167,272.297,273.427,272.297
20220420,Hazy,978,Target pole dives,40219.11,NA,NA,1370,44,33.24,125.07,270.32,272.862,272.015,271.7323333
20220420,Hazy,978,Target pole dives,40220.63,NA,NA,1520,39,34.76,125.07,285.856,285.856,286.985,286.2323333
20220420,Hazy,978,Target pole dives,40222.13,NA,NA,1500,40,36.26,125.07,275.687,275.687,279.076,276.8166667
20220420,Hazy,978,Target pole dives,40223.61,NA,NA,1480,41,37.74,125.07,277.946,275.687,277.946,277.193
20220420,Hazy,978,Target pole dives,40225.47,NA,NA,1860,32,39.6,125.07,267.778,266.648,267.778,267.4013333
20220420,Hazy,978,Target pole dives,40226.94,NA,NA,1470,41,41.07,125.07,273.709,272.862,275.404,273.9916667
20220420,Hazy,978,Target pole dives,40228.05,NA,NA,1110,54,42.18,125.07,274.557,276.252,273.427,274.7453333
20220420,Hazy,978,Target pole dives,40230.21,NA,NA,2160,28,44.34,125.07,277.946,276.817,277.946,277.5696667
20220420,Hazy,978,Target pole dives,40231.6,NA,NA,1390,43,45.73,125.07,264.388,261.846,260.999,262.411
20220420,Hazy,978,Target pole dives,40232.9,NA,NA,1300,46,47.03,125.07,293.2,294.047,296.589,294.612
