Date,Individual,Episode,Type,Act.Time,Behaviour,Status,RR.ms,HR,Time,Dur,1,2,3,QT
20220512,Sitka,52,Target pole dives,53437.08,NA,NA,630,95,0,151.37,355.907,349.128,350.258,351.7643333
20220512,Sitka,52,Target pole dives,53437.71,NA,NA,630,95,0.63,151.37,323.706,322.011,327.66,324.459
20220512,Sitka,52,Target pole dives,53438.34,NA,NA,630,95,1.26,151.37,332.18,333.31,332.18,332.5566667
20220512,Sitka,52,Target pole dives,53438.98,NA,NA,640,94,1.9,151.37,343.479,343.479,344.608,343.8553333
20220512,Sitka,52,Target pole dives,53439.61,NA,NA,630,95,2.53,151.37,303.933,302.803,303.933,303.5563333
20220512,Sitka,52,Target pole dives,53440.25,NA,NA,640,94,3.17,151.37,318.622,322.011,319.751,320.128
20220512,Sitka,52,Target pole dives,53440.89,NA,NA,640,94,3.81,151.37,318.622,319.469,316.927,318.3393333
20220512,Sitka,52,Target pole dives,53441.53,NA,NA,640,94,4.45,151.37,329.638,325.401,327.096,327.3783333
20220512,Sitka,52,Target pole dives,53442.17,NA,NA,640,94,5.09,151.37,308.453,311.842,309.3,309.865
20220512,Sitka,52,Target pole dives,53442.81,NA,NA,640,94,5.73,151.37,314.385,317.774,314.385,315.5146667
20220512,Sitka,52,Target pole dives,53443.03,breath,POINT,NA,NA,5.73,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53443.47,NA,NA,660,91,6.39,151.37,324.271,327.66,324.271,325.4006667
20220512,Sitka,52,Target pole dives,53444.12,NA,NA,650,92,7.04,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53444.78,NA,NA,660,91,7.7,151.37,328.79,329.92,327.66,328.79
20220512,Sitka,52,Target pole dives,53445.44,NA,NA,660,91,8.36,151.37,326.531,324.271,325.401,325.401
20220512,Sitka,52,Target pole dives,53445.81,follows signal (command) from a trainer,POINT,NA,NA,8.36,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53446.09,NA,NA,650,92,9.01,151.37,341.219,336.699,341.219,339.7123333
20220512,Sitka,52,Target pole dives,53446.73,NA,NA,640,94,9.65,151.37,323.141,326.248,323.706,324.365
20220512,Sitka,52,Target pole dives,53447.37,NA,NA,640,94,10.29,151.37,312.972,308.453,310.148,310.5243333
20220512,Sitka,52,Target pole dives,53448.01,NA,NA,640,94,10.93,151.37,309.583,307.323,309.583,308.8296667
20220512,Sitka,52,Target pole dives,53448.15,eats fish,POINT,NA,NA,10.93,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53448.66,NA,NA,650,92,11.58,151.37,311.842,312.972,310.713,311.8423333
20220512,Sitka,52,Target pole dives,53449.32,NA,NA,660,91,12.24,151.37,328.79,330.485,330.485,329.92
20220512,Sitka,52,Target pole dives,53449.98,NA,NA,660,91,12.9,151.37,328.79,328.79,328.79,328.79
20220512,Sitka,52,Target pole dives,53450.35,breath,POINT,NA,NA,12.9,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53450.66,NA,NA,680,88,13.58,151.37,312.972,316.362,315.232,314.8553333
20220512,Sitka,52,Target pole dives,53451.36,NA,NA,700,86,14.28,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53451.39,haulout,STOP,NA,NA,14.28,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53451.39,underwater,START,NA,NA,14.28,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53451.99,NA,NA,630,95,14.91,151.37,320.881,325.401,325.401,323.8943333
20220512,Sitka,52,Target pole dives,53452.6,NA,NA,610,98,15.52,151.37,297.154,290.375,297.154,294.8943333
20220512,Sitka,52,Target pole dives,53452.94,stationary underwater,START,NA,NA,15.52,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53454.11,NA,NA,755,79.47019868,16.275,151.37,369.465,363.816,368.336,367.2056667
20220512,Sitka,52,Target pole dives,53454.11,NA,NA,755,79.47019868,17.03,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53455,NA,NA,890,67,17.92,151.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53456,NA,NA,1000,60,18.92,151.37,298.284,297.154,296.024,297.154
20220512,Sitka,52,Target pole dives,53457.07,NA,NA,1070,56,19.99,151.37,303.933,307.323,306.193,305.8163333
20220512,Sitka,52,Target pole dives,53458.16,NA,NA,1090,55,21.08,151.37,291.505,296.024,296.024,294.5176667
20220512,Sitka,52,Target pole dives,53459.28,NA,NA,1120,54,22.2,151.37,308.453,300.544,302.803,303.9333333
20220512,Sitka,52,Target pole dives,53460.47,NA,NA,1190,50,23.39,151.37,299.979,293.2,294.047,295.742
20220512,Sitka,52,Target pole dives,53461.78,NA,NA,1310,46,24.7,151.37,290.657,292.352,289.81,290.9396667
20220512,Sitka,52,Target pole dives,53463.17,NA,NA,1390,43,26.09,151.37,298.284,299.414,299.414,299.0373333
20220512,Sitka,52,Target pole dives,53464.55,NA,NA,1380,43,27.47,151.37,301.674,307.323,302.803,303.9333333
20220512,Sitka,52,Target pole dives,53465.88,NA,NA,1330,45,28.8,151.37,299.979,298.284,295.742,298.0016667
20220512,Sitka,52,Target pole dives,53467.35,NA,NA,1470,41,30.27,151.37,298.284,296.024,298.284,297.5306667
20220512,Sitka,52,Target pole dives,53468.83,NA,NA,1480,41,31.75,151.37,309.583,309.583,308.453,309.2063333
20220512,Sitka,52,Target pole dives,53470.36,NA,NA,1530,39,33.28,151.37,301.674,305.063,303.933,303.5566667
20220512,Sitka,52,Target pole dives,53472,NA,NA,1640,37,34.92,151.37,297.154,299.414,292.635,296.401
20220512,Sitka,52,Target pole dives,53473.74,NA,NA,1740,34,36.66,151.37,284.726,284.726,285.856,285.1026667
