RR.ms,1,2,3,QT,,,,,RR.ms,1,2,3,QT
660,298.423,301.802,301.802,300.6756667,,,,,660,298.423,301.802,301.802,300.6757
620,298.986,304.054,301.52,301.52,,,,,620,298.986,304.054,301.52,301.52
590,289.696,288.007,287.162,288.2883333,,,,,590,289.696,288.007,287.162,288.2883
590,283.784,285.473,287.162,285.473,,,,,590,283.784,285.473,287.162,285.473
590,278.716,278.716,277.027,278.153,,,,,590,278.716,278.716,277.027,278.153
570,277.027,275.338,271.959,274.7746667,,,,,570,277.027,275.338,271.959,274.7747
550,288.007,290.541,287.162,288.57,,,,,550,288.007,290.541,287.162,288.57
560,280.405,281.25,278.716,280.1236667,,,,,560,280.405,281.25,278.716,280.1237
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
560,294.764,288.007,293.074,291.9483333,,,,,560,294.764,288.007,293.074,291.9483
550,288.851,291.385,287.162,289.1326667,,,,,550,288.851,291.385,287.162,289.1327
560,280.405,279.561,280.405,280.1236667,,,,,560,280.405,279.561,280.405,280.1237
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
560,281.25,282.095,282.939,282.0946667,,,,,560,281.25,282.095,282.939,282.0947
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
570,287.162,285.473,285.473,286.036,,,,,570,287.162,285.473,285.473,286.036
610,295.608,293.074,293.919,294.2003333,,,,,610,295.608,293.074,293.919,294.2003
630,281.25,276.182,277.872,278.4346667,,,,,630,281.25,276.182,277.872,278.4347
710,276.182,275.338,277.027,276.1823333,,,,,710,276.182,275.338,277.027,276.1823
710,279.561,282.939,283.784,282.0946667,,,,,710,279.561,282.939,283.784,282.0947
690,NA,,,#DIV/0!,,,,,690,NA,,,#DIV/0!
680,288.901,290.596,290.596,290.031,,,,,680,288.901,290.596,290.596,290.031
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
650,282.406,281.276,280.147,281.2763333,,,,,650,282.406,281.276,280.147,281.2763
680,291.443,291.443,291.443,291.443,,,,,680,291.443,291.443,291.443,291.443
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
550,NA,,,#DIV/0!,,,,,550,NA,,,#DIV/0!
610,NA,,,#DIV/0!,,,,,610,NA,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
590,NA,,,#DIV/0!,,,,,590,NA,,,#DIV/0!
610,NA,,,#DIV/0!,,,,,610,NA,,,#DIV/0!
560,NA,,,#DIV/0!,,,,,560,NA,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
620,NA,,,#DIV/0!,,,,,620,NA,,,#DIV/0!
600,302.739,302.739,302.739,302.739,,,,,600,302.739,302.739,302.739,302.739
660,307.54,304.999,303.304,305.281,,,,,660,307.54,304.999,303.304,305.281
660,NA,,,#DIV/0!,,,,,660,NA,,,#DIV/0!
750,294.832,294.832,297.091,295.585,,,,,750,294.832,294.832,297.091,295.585
820,295.962,302.739,299.35,299.3503333,,,,,820,295.962,302.739,299.35,299.3503
880,282.406,283.536,283.536,283.1593333,,,,,880,282.406,283.536,283.536,283.1593
920,292.29,290.596,292.29,291.7253333,,,,,920,292.29,290.596,292.29,291.7253
930,284.665,282.971,284.665,284.1003333,,,,,930,284.665,282.971,284.665,284.1003
940,301.61,298.221,301.61,300.4803333,,,,,940,301.61,298.221,301.61,300.4803
940,269.415,267.721,271.11,269.4153333,,,,,940,269.415,267.721,271.11,269.4153
980,298.221,299.068,299.068,298.7856667,,,,,980,298.221,299.068,299.068,298.7857
1060,298.221,294.832,299.915,297.656,,,,,1060,298.221,294.832,299.915,297.656
1070,291.443,295.679,293.138,293.42,,,,,1070,291.443,295.679,293.138,293.42
1110,261.79,262.638,264.332,262.92,,,,,1110,261.79,262.638,264.332,262.92
1100,282.971,283.818,279.582,282.1236667,,,,,1100,282.971,283.818,279.582,282.1237
1080,NA,,,#DIV/0!,,,,,1080,NA,,,#DIV/0!
950,NA,,,#DIV/0!,,,,,950,NA,,,#DIV/0!
1000,288.901,288.054,291.443,289.466,,,,,1000,288.901,288.054,291.443,289.466
1060,267.721,271.11,267.721,268.8506667,,,,,1060,267.721,271.11,267.721,268.8507
970,292.573,294.832,292.573,293.326,,,,,970,292.573,294.832,292.573,293.326
1210,288.054,285.795,284.665,286.1713333,,,,,1210,288.054,285.795,284.665,286.1713
